,forecast,lower_ci,upper_ci
2024-05-08,6.845160917769374,6.686194072933302,7.004127762605447
2024-05-15,6.847561245589676,6.624639315253834,7.070483175925519
2024-05-22,6.845030836056419,6.572763585883621,7.1172980862292174
2024-05-29,6.853300953272021,6.539351012356416,7.167250894187626
2024-06-05,6.852967930846312,6.502254832338455,7.203681029354168
2024-06-12,6.859722875164386,6.475750493997343,7.243695256331429
2024-06-19,6.86561574650621,6.451043796807863,7.280187696204557
2024-06-26,6.864727479409469,6.421664486840276,7.307790471978661
2024-07-03,6.870783919026174,6.400954450716621,7.340613387335726
2024-07-10,6.8692212315137935,6.374070099838109,7.364372363189478
2024-07-17,6.876884889824094,6.357645487325228,7.39612429232296
2024-07-24,6.881949772250395,6.339691096879459,7.42420844762133
2024-07-31,6.879858727476751,6.315936978144155,7.443780476809348
2024-08-07,6.88221634031971,6.2974266871057285,7.467005993533691
2024-08-14,6.879726827588584,6.274788790566299,7.4846648646108696
2024-08-21,6.887599563073184,6.263162920758908,7.512036205387461
2024-08-28,6.887330593253812,6.243986041809005,7.530675144698619
2024-09-04,6.893784377043974,6.232071974717194,7.5554967793707535
2024-09-11,6.899409569158987,6.219825577733258,7.578993560584716
2024-09-18,6.89863576524243,6.201638685384817,7.5956328451000426
2024-09-25,6.904505366505335,6.190519752323974,7.618490980686696
2024-10-02,6.902990176779061,6.172410964656351,7.63356938890177
2024-10-09,6.910407640315152,6.1636034403311575,7.657211840299147
2024-10-16,6.915226189298559,6.152542086250891,7.677910292346226
